kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.1.sm_70.ptx 3054 : 10112 50560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3053 : 10112 50560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3052 : 10112 60672 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3051 : 10112 89536 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3050 : 10112 63552 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3049 : 10112 36512 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3032 : 100000 636768 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3026 : 100000 657504 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3025 : 100000 721760 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3024 : 100000 1710816 0 0 0 12500 3125 0 0 
test.1.sm_70.ptx 3023 : 100000 963968 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3022 : 100000 949728 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3021 : 100000 630816 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3020 : 100000 1031840 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3019 : 100000 901568 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3018 : 100000 8580128 64 0 0 6250 3125 0 0 
test.1.sm_70.ptx 3017 : 100000 934752 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3016 : 100000 927840 0 0 0 0 0 0 0 
test.1.sm_70.ptx 3015 : 100000 634112 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2953 : 100000 567392 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2952 : 100000 624896 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2950 : 100000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2949 : 100000 651392 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2948 : 100000 629600 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2947 : 100000 646816 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2944 : 200000 674048 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2943 : 200000 1384480 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2942 : 200000 1956192 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2941 : 200000 1432224 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2940 : 200000 6747936 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2939 : 200000 6566624 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2938 : 200000 1686304 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2937 : 200000 6799488 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2936 : 200000 6615616 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2935 : 200000 1802144 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2934 : 200000 6893952 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2933 : 200000 6701280 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2932 : 200000 1859776 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2931 : 200000 6962496 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2930 : 200000 6770272 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2929 : 200000 1932960 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2928 : 200000 7015840 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2927 : 200000 6822816 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2926 : 200000 1977664 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2925 : 200000 7048192 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2924 : 200000 6867424 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2923 : 200000 2011008 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2922 : 200000 7094784 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2921 : 200000 6906080 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2920 : 200000 2075968 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2919 : 200000 7111104 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2918 : 200000 6940032 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2917 : 200000 2091424 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2916 : 200000 7159488 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2915 : 200000 6974176 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2914 : 200000 2102560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2913 : 200000 7172224 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2912 : 200000 6993120 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2911 : 200000 2105632 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2910 : 200000 7216416 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2909 : 200000 7043936 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2908 : 200000 2131584 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2907 : 200000 7263840 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2906 : 200000 7081152 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 2905 : 200000 2146112 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2904 : 200000 7256096 0 6250 6250 0 0 0 0 
